row,question,ground_truth,answer_preview,faithfulness,answer_relevancy,context_precision,context_recall,factual_correctness
54,Which DNA sequences are more prone for the formation of R-loops?,"R-loops, transcriptionally-induced RNA:DNA hybrids, occurring at repeat tracts (CTG)n, (CAG)n, (CGG)n, (CCG)n and (GAA)n, are associated with diseases including myotonic dystrophy, Huntington's diseas","DNA sequences more prone to R-loop formation include:
*   Promoter CpG islands, especially those with unusual sequence features.
*   Expanded repeats of genes like FXN and FMR1.
*   C-rich DNA templat",0.9,0.9464060249951641,0.49999999995,0.5,0.24
55,Mutation of which gene is implicated in the familial isolated pituitary adenoma?,Mutation of aryl hydrocarbon receptor interacting protein (AIP) gene was implicated in the familial isolated pituitary adenoma (FIPA) syndrome. About 20% of the families with FIPA harbor inactivating ,Germline mutations of the aryl hydrocarbon receptor interacting protein (AIP) gene are implicated in familial isolated pituitary adenoma (FIPA).,1.0,0.7486349968182419,0.999999999975,1.0,0.67
56,which mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy?,The following mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy: L29Q; A8V; A31S; E134D; c.363dupG; A23Q; D145E and C84Y,"Mutations of the Troponin C gene (TNNC1) that have been found to cause hypertrophic cardiomyopathy include:

*   c.363dupG (also referred to as p.Gln122AlafsX30)
*   L29Q
*   A8V
*   C84Y
*   E134D
* ",0.875,0.948929630482989,0.3333333333,0.875,1.0
57,What is known about the effect of acupuncture in smoking cessation ?,"Ear acupressure (EAP) and ear acupuncture have been used for smoking cessation, and some positive results have been reported.
Auricular (ear) acupressure has been purported to be beneficial in achievi","The effect of acupuncture in smoking cessation is varied and, in some cases, controversial according to the provided context.

*   One study on 238 smoking students found a very low smoking cessation ",1.0,0.9504921575322695,0.8055555555287036,0.6666666666666666,0.12
58,Which post-translational histone modifications are characteristic of constitutive heterochromatin?,"H3K9me3 is the major marker of constitutive heterochromatin. Other histone methylation marks usually found in constitutive heterochromatin, are H4K20me3 and H3K79me3. Classical histone modifications a","The post-translational histone modifications characteristic of constitutive heterochromatin include:
*   Methylation of histone H3 at lysine 9 (H3-Lys9)
*   Histone H3 acetylation
*   Di-, and trimeth",0.8,0.9831803718863044,0.999999999975,0.2,0.4
59,GV1001 vaccine targets which enzyme?,GV1001 is a 16-amino-acid vaccine peptide derived from the human telomerase reverse transcriptase sequence. It has been developed as a vaccine against various cancers.,GV1001 vaccine targets telomerase.,1.0,0.7247397026457061,0.7499999999625,1.0,0.5
60,Which is the E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation?,"IκB degradation involves ubiquitination mediated by a specific E3 ubiquitin ligase SCF(β-TrCP). SCF(β-TrCP) -mediated IκB ubiquitination and degradation is a very efficient process, often resulting in","The E3 ubiquitin ligase that ubiquitinates IκB, leading to its proteasomal degradation, is SCF(β-TrCP) (also referred to as E3RS(IκB/β-TrCP), an SCF-type E3 ubiquitin ligase). The F-box component β-Tr",1.0,0.9235011214803647,0.9166666666361111,1.0,0.44
61,Is c-met involved in the activation of the Akt pathway?,"HGF-induced activation of c-Met is playing a pivotal role in the stimulation of c-Src activation, resulting in induction of phosphatidylinositol 3-kinase complexes p85α/p110α and p85α/p110δ, which is ","Yes, c-Met is involved in the activation of the Akt pathway.

Several sources support this:
*   The activation of the PI3K/Akt pathway is induced by the HGF/c-Met axis (Source 1).
*   Activation of C-",1.0,0.9880809500456443,0.999999999975,0.0,0.33
62,Is pregnancy an additional risk during during H1N1 infection?,"Pregnant women are at increased risk for complications from pandemic influenza H1N1 virus infection. Pregnant women, because of their altered immunity and physiological adaptations, are at higher risk","Yes, pregnancy is an additional risk during H1N1 infection.

Pregnant women are more susceptible to bacterial and viral infection because pregnancy suppresses the immune system, and they might be at i",1.0,0.9435244546988528,0.999999999975,1.0,0.38
63,Are long non coding RNAs as conserved in sequence as protein coding genes?,No. Most long non coding RNAs  (lncRNAs) are under lower sequence constraints than protein-coding genes.,"The context provides conflicting information regarding the sequence conservation of long non-coding RNAs (lncRNAs) compared to protein-coding genes.

One study found that, in contrast to conventional ",0.8888888888888888,0.0,0.99999999995,1.0,0.0
64,Mutation of which gene is implicated in the Brain-lung-thyroid syndrome?,"Brain-lung-thyroid syndrome (BLTS) characterized by congenital hypothyroidism, respiratory distress syndrome, and benign hereditary chorea is caused by thyroid transcription factor 1 (NKX2-1/TTF1) mut",Mutation of the NKX2-1 gene (also known as TTF1) is implicated in Brain-lung-thyroid syndrome (BLTS).,1.0,0.8493570495762152,0.999999999975,1.0,0.67
65,What is clathrin?,Clathrin helps build small vesicles in order to safely transport molecules within and between cells.,"The provided context describes clathrin as a component involved in clathrin-mediated endocytosis, a trafficking process in eukaryotic cells. It forms clathrin-coated vesicles (CCVs) at the plasma memb",1.0,0.0,0.8333333332916666,1.0,0.0
66,What are the main results of PRKAR1A Knockdown?,"Suppression of protein kinase A regulatory subunit 1 alpha (PRKAR1A) has been proven to inhibit cholangiocarcinoma (CCA) cell growth and enhance apoptosis. Also, Knockdown of the cAMP-dependent protei","PRKAR1A knockdown has several main results depending on the cell type:

In cholangiocarcinoma (CCA) cell lines:
*   It inhibits CCA cell growth.
*   It enhances apoptosis.
*   It increases sensitivity",1.0,0.7765480828350486,0.0,0.5,0.24
67,Is TENS machine effective in pain?,Transcutaneous electrical nerve stimulation is widely used in pain management,"Transcutaneous electrical nerve stimulation (TENS) is widely used in pain management, and its effectiveness depends on the stimulation being targeted appropriately [Source 1]. Studies have provided ev",1.0,0.8216579019391393,0.99999999995,1.0,0.33
68,Is there any algorithm for enhancer identification from chromatin state?,yes,"Yes, there are algorithms for enhancer identification from chromatin state.

One such algorithm is RFECS (Random Forest based Enhancer identification from Chromatin States), which is a Random-Forest b",1.0,0.9675892778898921,0.9999999999666667,1.0,0.0
69,Which enzyme is targeted by the drug Imetelstat?,"Imetelstat sodium (GRN163L), is a 13-mer oligonucleotide N3'→P5' thio-phosphoramidate lipid conjugate, which represents the latest generation of telomerase inhibitors targeting the template region of ",Imetelstat targets the enzyme telomerase.,1.0,0.9302350625746906,0.999999999975,1.0,0.29
70,Which interleukins are inhibited by Dupilumab?,"Dupilumab, a fully human monoclonal antibody that blocks interleukin-4 and interleukin-13, has shown efficacy in patients with asthma and elevated eosinophil levels.",Dupilumab inhibits the biological effects of both interleukin (IL)-4 and IL-13. It prevents IL-4/13 interactions with the α-subunit of the IL-4 receptor complex.,1.0,0.749643456454974,0.9999999999666667,1.0,0.4
71,Which human genes are more commonly related to craniosynostosis?,The genes that are most commonly linked to craniosynostoses are the members of the Fibroblast Growth Factor Receptor family FGFR3 and to a lesser extent FGFR1 and FGFR2. Some variants of the disease h,"Mutations in the genes FGFR1, FGFR2, FGFR3, TWIST, and MSX2 are described as causing craniosynostosis as the main clinical feature (Source 1). Specifically, the MSX2 gene is associated with the autoso",1.0,0.8818463360098843,0.9999999999,0.25,0.0
72,Are transcribed ultraconserved regions involved in cancer?,"Yes, it appears that there is widespread T-UCR (Transcribed - UltraConserved Region) involvement in diverse cellular processes that are deregulated in the process of tumourigenesis. Transcribed ultrac","Yes, transcribed ultraconserved regions (T-UCRs) are involved in cancer.

Growing evidence indicates that T-UCRs are altered at the transcriptional level in human tumorigenesis, and their aberrant exp",1.0,0.8516497684594819,0.999999999975,1.0,0.38
73,In which breast cancer patients can palbociclib be used?,"Palbociclib is useful for women with hormone receptor-positive, human epidermal growth factor receptor 2-negative breast cancer.","Palbociclib can be used in women with hormone receptor-positive, human epidermal growth factor receptor 2-negative breast cancer.",1.0,0.9256465934297284,0.9999999999,1.0,1.0
74,Do patients with Pendred syndrome present congenital deafness?,Congenital deafness is one of the characteristics of Pendred syndrome patients.,"Yes, patients with Pendred syndrome present with congenital deafness.",1.0,0.9232049770488401,0.999999999975,1.0,1.0
75,List side effects of SGLT2 inhibitors?,"SGLT2 inhibitors can be associated with urogenital infections related to the enhanced glycosuria, and low blood pressure.","SGLT2 inhibitors have several side effects, including:
*   Repeated urinary tract infections
*   Genital infections
*   Increased hematocrit
*   Decreased blood pressure
*   Increased incidence of bla",1.0,0.9624252825839698,0.999999999975,1.0,0.6
76,Is CD56 useful in Ewing sarcoma prognosis?,"Excellent prognosis in a subset of patients with Ewing sarcoma identified at diagnosis by CD56 using flow cytometryIn patients with localized nonpelvic disease, those expressing low/negative CD56 had ","The provided context mentions CD56 as an immunohistochemical marker used in the diagnosis of Ewing family of tumors (EFTs) or high-grade sarcomas compatible with extraskeletal Ewing sarcoma. However, ",1.0,0.0,0.0,0.0,0.0
77,What is the method FASP used for?,"Filter Aided Sample Preparation (FASP), a type of proteomic reactor, in which samples dissolved in sodium dodecyl sulfate (SDS) are digested in an ultrafiltration unit.","The method FASP (Filter Aided Sample Preparation) is used for:
*   Proteomic sample preparation.
*   Digesting samples, where samples dissolved in sodium dodecyl sulfate (SDS) are digested in an ultra",1.0,0.7611305470120137,0.999999999975,1.0,0.4
